iter	Passed	Remaining
227	517	1752
228	518	1746
229	519	1740
230	521	1734
231	522	1729
232	523	1723
233	524	1718
234	526	1712
235	527	1707
236	528	1701
237	530	1697
238	531	1692
239	532	1687
240	534	1682
241	535	1676
242	536	1671
243	537	1666
244	539	1661
245	540	1655
246	541	1650
247	542	1645
248	544	1641
249	545	1637
250	547	1633
251	548	1628
252	549	1623
253	551	1618
254	552	1613
255	553	1608
256	554	1603
257	556	1599
258	557	1594
259	558	1589
260	559	1585
261	561	1580
262	562	1575
263	563	1571
264	564	1566
265	566	1562
266	567	1557
267	568	1553
268	569	1548
269	570	1543
270	572	1539
271	573	1535
272	575	1531
273	576	1527
274	577	1523
275	578	1518
276	580	1514
277	581	1509
278	582	1505
279	583	1501
280	585	1497
281	586	1493
282	587	1489
283	589	1485
284	590	1481
285	591	1477
286	592	1473
287	594	1469
288	595	1465
289	596	1461
290	598	1457
291	599	1453
292	600	1449
293	602	1445
294	603	1441
295	604	1438
296	605	1434
297	607	1430
298	608	1426
299	609	1422
300	611	1418
301	612	1415
302	613	1411
303	615	1408
304	616	1404
305	617	1400
306	618	1396
307	620	1393
308	621	1390
309	622	1386
310	624	1382
311	625	1379
312	626	1375
313	628	1372
314	629	1369
315	631	1366
316	632	1362
317	633	1358
318	634	1354
319	635	1351
320	637	1347
321	638	1344
322	639	1340
323	641	1337
324	642	1334
325	643	1330
326	644	1327
327	646	1323
328	647	1320
329	648	1317
330	650	1313
331	651	1310
332	652	1307
333	653	1303
334	655	1300
335	656	1296
336	657	1294
337	659	1291
338	660	1288
339	662	1285
340	663	1282
341	665	1279
342	667	1277
343	668	1274
344	669	1271
345	670	1267
346	672	1264
347	673	1261
348	674	1257
349	675	1254
350	676	1251
351	678	1248
352	679	1245
353	680	1242
354	682	1239
355	683	1236
356	685	1234
357	687	1232
358	689	1230
359	691	1228
360	692	1226
361	694	1223
362	696	1221
363	697	1218
364	698	1215
365	699	1212
366	701	1209
367	702	1206
368	704	1204
369	705	1201
370	706	1198
371	707	1195
372	709	1191
373	710	1189
374	711	1186
375	713	1183
376	714	1181
377	716	1178
378	717	1175
379	718	1172
380	719	1169
381	720	1166
382	722	1163
383	723	1160
384	724	1157
385	725	1154
386	727	1151
387	728	1149
388	729	1146
389	731	1143
390	732	1140
391	733	1137
392	734	1134
393	735	1131
394	737	1129
395	738	1126
396	739	1123
397	741	1120
398	742	1118
399	743	1115
400	745	1112
401	746	1110
402	747	1107
403	749	1105
404	750	1102
405	751	1100
406	753	1097
407	754	1095
408	756	1092
409	757	1090
410	759	1087
411	760	1085
412	761	1082
413	762	1079
414	764	1077
415	765	1074
416	766	1071
417	767	1069
418	769	1066
419	771	1065
420	772	1063
421	774	1060
422	775	1057
423	776	1055
424	778	1052
425	779	1050
426	780	1047
427	781	1044
428	783	1042
429	784	1040
430	786	1038
431	787	1035
432	789	1033
433	790	1030
434	791	1028
435	792	1025
436	794	1022
437	795	1020
438	796	1017
439	797	1015
440	799	1012
441	800	1010
442	801	1008
443	803	1005
444	804	1003
445	805	1000
446	807	998
447	808	995
448	809	993
449	810	990
450	811	988
451	813	986
452	815	984
453	816	981
454	817	979
455	819	977
456	820	975
457	822	972
458	823	970
459	824	968
460	826	966
461	827	963
462	828	961
463	830	959
464	831	957
465	833	954
466	834	952
467	835	950
468	836	947
469	838	945
470	839	943
471	841	940
472	842	938
473	843	935
474	844	933
475	845	931
476	847	928
477	848	926
478	849	924
479	851	921
480	852	919
481	853	917
482	854	915
483	856	913
484	857	910
485	859	908
486	860	906
487	861	903
488	862	901
489	863	899
490	865	896
491	866	894
492	867	892
493	869	890
494	870	887
495	871	885
496	872	883
497	873	880
498	875	878
499	876	876
500	877	874
501	879	871
502	880	869
503	881	867
504	883	865
505	884	863
506	885	861
507	886	858
508	888	856
509	889	854
510	890	852
511	892	850
512	893	848
513	894	846
514	896	844
515	897	841
516	899	839
517	900	837
518	901	835
519	902	833
520	904	831
521	905	829
522	906	826
523	907	824
524	909	822
525	910	820
526	912	818
527	914	817
528	915	815
529	916	812
530	918	810
531	919	808
532	920	806
533	922	804
534	923	802
535	925	801
536	926	799
537	928	796
538	929	794
539	930	792
540	931	790
541	933	788
542	934	786
543	935	784
544	936	782
545	938	780
546	939	778
547	941	776
548	942	774
549	943	772
550	945	770
551	946	768
552	947	766
553	949	764
554	950	762
555	951	760
556	953	758
557	954	756
558	956	754
559	957	752
560	958	750
561	959	748
562	961	745
563	962	743
564	963	741
565	964	739
566	966	737
567	967	735
568	968	733
569	970	731
570	971	729
571	972	727
572	973	725
573	975	723
574	976	721
575	978	719
576	979	717
577	980	715
578	982	714
579	983	712
580	985	710
581	986	708
582	987	706
583	988	704
584	990	702
585	991	700
586	992	698
587	994	696
588	995	694
589	997	693
590	999	691
591	1000	689
592	1001	687
593	1003	685
594	1004	683
595	1006	682
596	1007	680
597	1008	678
598	1010	676
599	1011	674
600	1013	672
601	1014	670
602	1016	669
603	1017	667
604	1018	665
605	1020	663
606	1021	661
607	1023	659
608	1024	657
609	1025	655
610	1027	653
611	1028	651
612	1029	649
613	1030	648
614	1032	646
615	1033	644
616	1034	642
617	1036	640
618	1037	638
619	1038	636
620	1040	634
621	1041	632
622	1042	631
623	1044	629
624	1045	627
625	1046	625
626	1047	623
627	1049	621
628	1050	619
629	1052	617
630	1053	616
631	1055	614
632	1057	613
633	1059	611
634	1061	609
635	1062	608
636	1064	606
637	1066	604
638	1067	603
639	1069	601
640	1070	599
641	1072	597
642	1073	596
643	1074	594
644	1076	592
645	1077	590
646	1079	588
647	1080	586
648	1081	585
649	1084	583
650	1085	582
651	1087	580
652	1088	578
653	1089	576
654	1090	574
655	1092	572
656	1093	570
657	1094	568
658	1096	567
659	1097	565
660	1098	563
661	1100	561
662	1101	559
663	1103	558
664	1104	556
665	1106	554
666	1107	552
667	1108	551
668	1110	549
669	1111	547
670	1112	545
671	1114	543
672	1115	542
673	1117	540
674	1118	538
675	1119	536
676	1121	535
677	1123	533
678	1124	531
679	1125	529
680	1127	528
681	1128	526
682	1130	524
683	1131	522
684	1133	521
685	1134	519
686	1135	517
687	1137	515
688	1138	514
689	1140	512
690	1141	510
691	1143	508
692	1144	507
693	1145	505
694	1147	503
695	1148	501
696	1150	499
697	1151	498
698	1152	496
699	1154	494
700	1156	493
701	1157	491
702	1159	489
703	1161	488
704	1162	486
705	1163	484
706	1164	482
707	1165	480
708	1167	479
709	1168	477
710	1170	475
711	1171	473
712	1173	472
713	1174	470
714	1176	468
715	1178	467
716	1179	465
717	1181	463
718	1182	462
719	1184	460
720	1185	458
721	1187	457
722	1188	455
723	1190	453
724	1191	451
725	1193	450
726	1194	448
727	1195	446
728	1197	445
729	1199	443
730	1201	441
731	1202	440
732	1204	438
733	1205	436
734	1206	435
735	1208	433
736	1209	431
737	1211	430
738	1213	428
739	1214	426
740	1216	425
741	1217	423
742	1219	421
743	1220	420
744	1222	418
745	1223	416
746	1225	414
747	1226	413
748	1228	411
749	1229	409
750	1231	408
751	1232	406
752	1234	404
753	1235	403
754	1236	401
755	1237	399
756	1239	397
757	1240	396
758	1242	394
759	1243	392
760	1244	390
761	1246	389
762	1247	387
763	1248	385
764	1250	384
765	1251	382
766	1252	380
767	1253	378
768	1255	377
769	1256	375
770	1257	373
771	1259	371
772	1260	370
773	1261	368
774	1262	366
775	1264	364
776	1265	363
777	1266	361
778	1268	359
779	1269	358
780	1270	356
781	1271	354
782	1273	352
783	1274	351
784	1275	349
785	1277	347
786	1278	346
787	1279	344
788	1281	342
789	1282	340
790	1284	339
791	1285	337
792	1286	335
793	1288	334
794	1289	332
795	1290	330
796	1291	329
797	1293	327
798	1294	325
799	1295	323
800	1297	322
801	1298	320
802	1299	318
803	1300	317
804	1302	315
805	1303	313
806	1304	312
807	1306	310
808	1307	308
809	1308	306
810	1309	305
811	1311	303
812	1312	301
813	1313	300
814	1314	298
815	1316	296
816	1317	295
817	1318	293
818	1319	291
819	1320	289
820	1322	288
821	1323	286
822	1324	284
823	1325	283
824	1327	281
825	1328	279
826	1329	278
827	1331	276
828	1332	274
829	1333	273
830	1334	271
831	1336	269
832	1337	268
833	1338	266
834	1340	264
835	1341	263
836	1342	261
837	1344	259
838	1345	258
839	1346	256
840	1347	254
841	1349	253
842	1350	251
843	1351	249
844	1353	248
845	1354	246
846	1355	244
847	1356	243
848	1357	241
849	1359	239
850	1360	238
851	1361	236
852	1363	234
853	1364	233
854	1365	231
855	1366	229
856	1368	228
857	1369	226
858	1370	225
859	1372	223
860	1373	221
861	1374	220
862	1375	218
863	1376	216
864	1378	215
865	1379	213
866	1380	211
867	1382	210
868	1383	208
869	1384	206
870	1385	205
871	1387	203
872	1388	201
873	1389	200
874	1391	198
875	1392	197
876	1393	195
877	1395	193
878	1396	192
879	1397	190
880	1398	188
881	1400	187
882	1401	185
883	1402	184
884	1404	182
885	1405	180
886	1406	179
887	1408	177
888	1409	175
889	1410	174
890	1411	172
891	1413	171
892	1414	169
893	1416	167
894	1417	166
895	1418	164
896	1420	163
897	1421	161
898	1422	159
899	1424	158
900	1426	156
901	1428	155
902	1429	153
903	1431	152
904	1433	150
905	1435	148
906	1436	147
907	1437	145
908	1439	144
909	1441	142
910	1442	140
911	1443	139
912	1445	137
913	1446	136
914	1447	134
915	1448	132
916	1450	131
917	1451	129
918	1452	128
919	1454	126
920	1455	124
921	1456	123
922	1457	121
923	1459	120
924	1460	118
925	1461	116
926	1462	115
927	1464	113
928	1465	111
929	1466	110
930	1467	108
931	1469	107
932	1471	105
933	1472	104
934	1473	102
935	1474	100
936	1476	99
937	1477	97
938	1478	96
939	1479	94
940	1481	92
941	1482	91
942	1483	89
943	1485	88
944	1486	86
945	1487	84
946	1488	83
947	1490	81
948	1491	80
949	1492	78
950	1493	76
951	1495	75
952	1496	73
953	1497	72
954	1498	70
955	1500	69
956	1501	67
957	1502	65
958	1504	64
959	1505	62
960	1506	61
961	1507	59
962	1509	57
963	1510	56
964	1511	54
965	1513	53
966	1514	51
967	1515	50
968	1517	48
969	1518	46
970	1519	45
971	1520	43
972	1522	42
973	1523	40
974	1524	39
975	1526	37
976	1527	35
977	1528	34
978	1529	32
979	1531	31
980	1532	29
981	1533	28
982	1535	26
983	1536	24
984	1537	23
985	1538	21
986	1540	20
987	1541	18
988	1542	17
989	1543	15
990	1545	14
991	1546	12
992	1547	10
993	1549	9
994	1550	7
995	1551	6
996	1553	4
997	1554	3
998	1555	1
999	1556	0
